entrezid	Ensembl_Gene_ID	Gene_Symbol	log2FC	p_value	adj_pvalue
3383	ENSG00000090339	ICAM1	6.6698404077	0	0
6347	ENSG00000108691	CCL2	6.3927430651	0	0
7128	ENSG00000118503	TNFAIP3	4.1752383048	0	0
7412	ENSG00000162692	VCAM1	9.0516122689	0	0
7127	ENSG00000185215	TNFAIP2	3.3128766885	0	0
3576	ENSG00000169429	IL8	3.4854038547	1.49e-291	4.76e-288
4791	ENSG00000077150	NFKB2	3.6760936413	9.72e-277	2.82e-273
4792	ENSG00000100906	NFKBIA	2.8107738915	1.69e-238	4.50e-235
8878	ENSG00000161011	SQSTM1	1.404984023	6.60e-87	3.91e-84
2150	ENSG00000164251	F2RL1	2.228720453	7.80e-174	1.25e-170
92610	ENSG00000145365	TIFA	2.4827316786	9.05e-190	1.61e-186
7185	ENSG00000056558	TRAF1	4.3219219715	0	0
5971	ENSG00000104856	RELB	5.3740452546	0	0
6401	ENSG00000007908	SELE	6.5992071817	0	0
330	ENSG00000023445	BIRC3	7.1013231569	0	0
80833	ENSG00000128284	APOL3	3.0580886345	5.34e-219	1.31e-215
1435	ENSG00000184371	CSF1	2.8747119649	1.34e-200	2.51e-197
11182	ENSG00000160326	SLC2A6	2.371736578	7.25e-153	9.27e-150
9308	ENSG00000112149	CD83	5.1849020913	6.25e-209	1.25e-205
6373	ENSG00000169248	CXCL11	3.9885010193	3.59e-153	4.78e-150
6374	ENSG00000163735	CXCL5	5.3189628206	6.02e-161	8.75e-158
6376	ENSG00000006210	CX3CL1	6.2047905222	2.06e-142	2.53e-139
338440	ENSG00000185101	ANO9	5.5319492083	6.65e-119	6.25e-116
4050	ENSG00000227507	LTB	4.5693401008	8.35e-99	5.93e-96
3301	ENSG00000086061	DNAJA1	0.6160659876	8.81e-20	1.04e-17
10769	ENSG00000145632	PLK2	0.3743843813	3.41e-08	1.54e-06
6386	ENSG00000137575	SDCBP	0.5110720979	1.04e-13	8.15e-12
7026	ENSG00000185551	NR2F2	-0.4961472049	2.83e-13	2.15e-11
388	ENSG00000143878	RHOB	0.3760342184	1.01e-07	4.24e-06
5806	ENSG00000163661	PTX3	0.7264569628	3.04e-18	3.32e-16
3068	ENSG00000143321	HDGF	0.3691856958	2.76e-07	1.08e-05
567	ENSG00000166710	B2M	0.546357382	2.92e-12	2.01e-10
55573	ENSG00000091527	CDV3	0.3818032113	4.70e-08	2.08e-06
2495	ENSG00000167996	FTH1	0.2597510103	0.0013737609	0.0215751345
259307	ENSG00000104951	IL4I1	3.4292833296	1.11e-140	1.27e-137
3491	ENSG00000142871	CYR61	0.2496820627	0.0001860959	0.0039336139
27289	ENSG00000172602	RND1	3.1459477897	1.09e-128	1.12e-125
9235	ENSG00000008517	IL32	2.6720847487	6.15e-172	9.36e-169
3604	ENSG00000049249	TNFRSF9	8.1430466274	1.04e-105	8.28e-103
6274	ENSG00000188015	S100A3	4.0520465746	6.83e-108	5.60e-105
2919	ENSG00000163739	CXCL1	3.2317419311	2.29e-210	4.88e-207
969	ENSG00000110848	CD69	3.9921576403	5.45e-104	4.15e-101
115908	ENSG00000164932	CTHRC1	1.8587056384	4.35e-105	3.39e-102
6372	ENSG00000124875	CXCL6	3.5080734691	2.70e-188	4.54e-185
8942	ENSG00000115919	KYNU	3.8834279178	1.61e-103	1.20e-100
6364	ENSG00000115009	CCL20	5.9380301295	1.03e-111	8.85e-109
7791	ENSG00000159840	ZYX	0.221308813	0.0017025307	0.0255678561
3106	ENSG00000234745	HLA-B	2.2802098006	8.97e-113	8.19e-110
23308	ENSG00000160223	ICOSLG	3.4416028095	1.03e-218	2.34e-215
81788	ENSG00000163545	NUAK2	3.2891894371	7.64e-96	4.98e-93
3627	ENSG00000169245	CXCL10	8.4054198187	1.83e-94	1.17e-91
29121	ENSG00000069493	CLEC2D	3.5342574865	1.45e-78	7.74e-76
3133	ENSG00000204592	HLA-E	0.616047908	1.69e-15	1.49e-13
10318	ENSG00000145901	TNIP1	2.0278859147	5.11e-158	7.11e-155
8767	ENSG00000104312	RIPK2	1.48650534	3.65e-82	2.12e-79
10133	ENSG00000123240	OPTN	1.7975448821	8.58e-123	8.57e-120
406938	ENSG00000253522	MIR146A	3.3553807205	2.68e-72	1.28e-69
6890	ENSG00000168394	TAP1	2.102288878	1.51e-131	1.61e-128
4794	ENSG00000146232	NFKBIE	2.3570285443	3.87e-112	3.44e-109
388125	ENSG00000205502	C2CD4B	2.9440001323	6.26e-74	3.18e-71
201191	ENSG00000167100	SAMD14	1.9532366462	6.55e-69	2.91e-66
